TITLE = "CFFC: 2D Advection Diffusion Equation Solution, Time Step/Iteration Level = 400, Time = 19.999999999992"
VARIABLES = "x" \ 
"y" \ 
"u" \ 
"UAvg" \ 
"Vx" \ 
"Vy" \ 
"k" \ 
"s" \ 
"ValISu" \ 
"ISu" \ 
"ExactSoln" \ 
ZONE T =  "Block Number = 0" \ 
I = 48 \ 
J = 28 \ 
F = POINT 
  -2.62500000000000e-01 -1.75000000000000e-01  -5.49213670094915e-01  -5.49213670094915e-01  1.00000000000000e-02 0.00000000000000e+00 0.01 0 1.00000000000000e+08 0 -1.0561859442771
  -1.87500000000000e-01 -1.75000000000000e-01  -5.49213670094915e-01  -5.49213670094915e-01  1.00000000000000e-02 0.00000000000000e+00 0.01 0 1.00000000000000e+08 0 -0.86379423832751
  -1.12500000000000e-01 -1.75000000000000e-01  -5.49213670094915e-01  -5.49213670094915e-01  1.00000000000000e-02 0.00000000000000e+00 0.01 0 1.00000000000000e+08 0 -0.70644803635879
  -3.75000000000000e-02 -1.75000000000000e-01  -5.49213670094915e-01  -5.49213670094915e-01  1.00000000000000e-02 0.00000000000000e+00 0.01 0 1.00000000000000e+08 0 -0.57776355310415
  3.75000000000000e-02 -1.75000000000000e-01  -4.92515065196930e-01  -4.92515065196930e-01  1.00000000000000e-02 0.00000000000000e+00 0.01 0 1.00000000000000e+08 0 -0.47251985474313
  1.12500000000000e-01 -1.75000000000000e-01  -4.05097711913435e-01  -4.05097711913435e-01  1.00000000000000e-02 0.00000000000000e+00 0.01 0 1.00000000000000e+08 0 -0.38644703732688
  1.87500000000000e-01 -1.75000000000000e-01  -3.29458516719890e-01  -3.29458516719890e-01  1.00000000000000e-02 0.00000000000000e+00 0.01 0 1.00000000000000e+08 0 -0.31605298999584
  2.62500000000000e-01 -1.75000000000000e-01  -2.67877946727294e-01  -2.67877946727294e-01  1.00000000000000e-02 0.00000000000000e+00 0.01 0 1.00000000000000e+08 0 -0.25848171449875
  3.37500000000000e-01 -1.75000000000000e-01  -2.17266947147055e-01  -2.17266947147055e-01  1.00000000000000e-02 0.00000000000000e+00 0.01 0 1.00000000000000e+08 0 -0.21139745281088
  4.12500000000000e-01 -1.75000000000000e-01  -1.75745836989518e-01  -1.75745836989518e-01  1.00000000000000e-02 0.00000000000000e+00 0.01 0 1.00000000000000e+08 0 -0.17288992172526
  4.87500000000000e-01 -1.75000000000000e-01  -1.41713047525595e-01  -1.41713047525595e-01  1.00000000000000e-02 0.00000000000000e+00 0.01 0 1.00000000000000e+08 0 -0.14139680963398
  5.62500000000000e-01 -1.75000000000000e-01  -1.13852701250911e-01  -1.13852701250911e-01  1.00000000000000e-02 0.00000000000000e+00 0.01 0 1.00000000000000e+08 0 -0.1156403910713
  6.37500000000000e-01 -1.75000000000000e-01  -9.10860253412151e-02  -9.10860253412151e-02  1.00000000000000e-02 0.00000000000000e+00 0.01 0 1.00000000000000e+08 0 -0.094575687370365
  7.12500000000001e-01 -1.75000000000000e-01  -7.25261847989670e-02  -7.25261847989670e-02  1.00000000000000e-02 0.00000000000000e+00 0.01 0 1.00000000000000e+08 0 -0.0773480702296
  7.87500000000000e-01 -1.75000000000000e-01  -5.74421188005508e-02  -5.74421188005508e-02  1.00000000000000e-02 0.00000000000000e+00 0.01 0 1.00000000000000e+08 0 -0.063258588099086
