0.868749D-06	0.285346D-05	0.695823D-05	0.138974D-04	0.240443D-04	0.373613D-04
0.534484D-04	0.716588D-04				
0.356578D-22	0.566988D-12	0.241804D-09	0.912414D-08	0.239902D-07	0.400979D-06
0.185776D-05	0.548243D-05	0.123612D-04	0.232063D-04	0.381640D-04	0.568325D-04
0.784121D-04	0.101896D-03				
0.202621D-20	0.402876D-11	0.979649D-09	0.265006D-07	0.101406D-06	0.898972D-06
0.346138D-05	0.910423D-05	0.188750D-04	0.331984D-04	0.518060D-04	0.738843D-04
0.983099D-04	0.123877D-03				
0.709826D-19	0.229338D-10	0.358676D-08	0.749083D-07	0.315728D-06	0.202840D-05
0.678322D-05	0.162138D-04	0.312511D-04	0.518478D-04	0.771064D-04	0.105609D-03
0.135763D-03	0.166061D-03				
0.576933D-17	0.152973D-09	0.133514D-07	0.211603D-07	0.848973D-06	0.411392D-05
0.119241D-04	0.258768D-04	0.464314D-04	0.728854D-04	0.103737D-03	0.137143D-03
0.171280D-03	0.204580D-03				
0.170292D-15	0.876263D-09	0.499643D-07	0.201419D-06	0.234389D-05	0.911720D-05
0.231177D-04	0.455084D-04	0.757240D-04	0.111961D-03	0.151885D-03	0.193193D-03
0.233934D-03	0.272630D-03				
0.385479D-14	0.375644D-08	0.142562D-06	0.679821D-06	0.492060D-05	0.162163D-04
0.370094D-04	0.674828D-04	0.105898D-03	0.149608D-03	0.195978D-03	0.242898D-03
0.288936D-03	0.333252D-03				
0.835411D-13	0.177671D-07	0.446185D-06	0.215535D-05	0.107595D-04	0.296894D-04
0.601100D-04	0.100261D-03	0.146728D-03	0.195802D-03	0.244314D-03	0.289960D-03
0.331287D-03	0.367548D-03				
0.332423D-11	0.924750D-07	0.447870D-06	0.629833D-05	0.232679D-04	0.543948D-04
0.982668D-04	0.150635D-03	0.206735D-03	0.262788D-03	0.316489D-03	0.366835D-03
0.413696D-03	0.457383D-03				
0.460993D-10	0.345629D-06	0.206192D-05	0.159575D-04	0.491526D-04	0.102242D-03
0.169245D-03	0.241893D-03	0.312949D-03	0.377506D-03	0.432941D-03	0.478361D-03
0.513981D-03	0.540644D-03				
0.124914D-08	0.170260D-05	0.963397D-05	0.423038D-04	0.100856D-03	0.177448D-03
0.260652D-03	0.341249D-03	0.414154D-03	0.477896D-03	0.533274D-03	0.582076D-03
0.626202D-03	0.667190D-03				
0.246573D-07	0.276608D-05	0.325655D-04	0.999186D-04	0.195876D-03	0.302256D-03
0.403423D-03	0.490243D-03	0.559263D-03	0.610598D-03	0.646132D-03	0.668376D-03
0.679882D-03	0.682977D-03				
0.369282D-06	0.197006D-04	0.100071D-03	0.229648D-03	0.374684D-03	0.507295D-03
0.614369D-03	0.694336D-03	0.751705D-03	0.792884D-03	0.823811D-03	0.848990D-03
0.871349D-03	0.892492D-03				
0.408500D-05	0.811696D-04	0.238544D-03	0.413231D-03	0.560702D-03	0.666506D-03
0.733103D-03	0.769067D-03	0.783457D-03	0.783709D-03	0.775278D-03	0.761911D-03
0.746070D-03	0.729304D-03				
0.337543D-04	0.267514D-03	0.543446D-03	0.762522D-03	0.902839D-03	0.978150D-03
0.100970D-02	0.101614D-02	0.101066D-02	0.100123D-02	0.991874D-03	0.984167D-03
0.978322D-03	0.973916D-03				
0.331798D-03	0.101283D-02	0.139346D-02	0.153129D-02	0.153280D-02	0.146958D-02
0.138280D-02	0.129420D-02	0.121421D-02	0.114697D-02	0.109322D-02	0.105191D-02
0.102110D-02	0.998605D-03				
0.189655D-02	0.260256D-02	0.250905D-02	0.221648D-02	0.192723D-02	0.168686D-02
0.150085D-02	0.136244D-02	0.126117D-02	0.118671D-02	0.113049D-02	0.108613D-02
0.104923D-02	0.101689D-02				
0.648466D-02	0.493466D-02	0.352890D-02	0.258780D-02	0.199246D-02	0.161716D-02
0.138024D-02	0.123242D-02	0.114377D-02	0.109513D-02	0.107332D-02	0.106875D-02
0.107435D-02	0.108489D-02				
0.151141D-01	0.761331D-02	0.446750D-02	0.301180D-02	0.225442D-02	0.183918D-02
0.160483D-02	0.146620D-02	0.137604D-02	0.130867D-02	0.125091D-02	0.119664D-02
0.114346D-02	0.109079D-02				
0.850418D-02	0.351636D-02	0.204201D-02	0.158851D-02	0.142574D-02	0.135572D-02
0.132435D-02	0.131613D-02	0.132371D-02	0.134083D-02	0.136169D-02	0.138151D-02
0.139685D-02	0.140559D-02				
0.161065D-01	0.660693D-02	0.355221D-02	0.248301D-02	0.207019D-02	0.188422D-02
0.176585D-02	0.165938D-02	0.154974D-02	0.143638D-02	0.132288D-02	0.121296D-02
0.110929D-02	0.101345D-02				
0.227072D-01	0.132238D-01	0.826791D-02	0.562102D-02	0.413889D-02	0.329107D-02
0.279897D-02	0.250596D-02	0.232212D-02	0.219597D-02	0.209857D-02	0.201414D-02
0.193455D-02	0.185597D-02				
0.402279D-02	0.575424D-02	0.563991D-02	0.489824D-02	0.407630D-02	0.334140D-02
0.272913D-02	0.223303D-02	0.183544D-02	0.151781D-02	0.126388D-02	0.106026D-02
0.896270D-03	0.763493D-03				
0.556086D-04	0.515633D-03	0.111905D-02	0.161854D-02	0.194034D-02	0.210615D-02
0.215811D-02	0.213395D-02	0.206199D-02	0.196205D-02	0.184744D-02	0.172694D-02
0.160617D-02	0.148865D-02				
0.274598D-01	0.681483D-01	0.118291D+00	0.185340D+00	0.270373D+00	0.377158D+00
0.499161D+00	0.631698D+00	0.769415D+00	0.901290D+00	0.106928D+01	0.122743D+01
0.136787D+01	0.150070D+01				
0.358741D-01	0.853992D-01	0.152462D+00	0.242287D+00	0.351884D+00	0.483100D+00
0.628854D+00	0.785010D+00	0.946297D+00	0.109899D+01	0.129820D+01	0.148148D+01
0.164040D+01	0.178945D+01				
0.571082D-01	0.133837D+00	0.238648D+00	0.374609D+00	0.534058D+00	0.711008D+00
0.892902D+00	0.107347D+01	0.124851D+01	0.139935D+01	0.164353D+01	0.184711D+01
0.200104D+01	0.214226D+01				
0.975493D-01	0.213431D+00	0.346212D+00	0.491488D+00	0.651210D+00	0.818538D+00
0.990338D+00	0.116505D+01	0.134089D+01	0.150277D+01	0.174988D+01	0.196635D+01
0.214500D+01	0.231697D+01				
0.648595D-01	0.178177D+00	0.315404D+00	0.465046D+00	0.619342D+00	0.774668D+00
0.929821D+00	0.108354D+01	0.123390D+01	0.136711D+01	0.158312D+01	0.176564D+01
0.190858D+01	0.204439D+01				
0.108964D+00	0.230500D+00	0.350479D+00	0.471087D+00	0.596647D+00	0.725881D+00
0.859420D+00	0.996897D+00	0.113612D+01	0.126524D+01	0.145711D+01	0.162620D+01
0.176724D+01	0.190330D+01				
0.926284D-01	0.233444D+00	0.402705D+00	0.586661D+00	0.765238D+00	0.934188D+00
0.109542D+01	0.125006D+01	0.139759D+01	0.152059D+01	0.174487D+01	0.192457D+01
0.205280D+01	0.217125D+01				
0.170113D+00	0.303757D+00	0.418749D+00	0.518208D+00	0.616189D+00	0.717604D+00
0.821741D+00	0.928002D+00	0.103483D+01	0.113227D+01	0.127923D+01	0.140682D+01
0.151096D+01	0.161069D+01				
0.172461D+00	0.239852D+00	0.288681D+00	0.355008D+00	0.441909D+00	0.544714D+00
0.657681D+00	0.776444D+00	0.896973D+00	0.101127D+01	0.116057D+01	0.129692D+01
0.141695D+01	0.153421D+01				
0.193731D+00	0.267070D+00	0.352522D+00	0.458661D+00	0.577921D+00	0.704162D+00
0.831357D+00	0.955698D+00	0.107506D+01	0.118024D+01	0.134571D+01	0.148393D+01
0.159341D+01	0.170117D+01				
0.267567D+00	0.411729D+00	0.544031D+00	0.675816D+00	0.808372D+00	0.935780D+00
0.105563D+01	0.116787D+01	0.127469D+01	0.137103D+01	0.154575D+01	0.169020D+01
0.180910D+01	0.193919D+01				
0.224638D+00	0.366488D+00	0.520807D+00	0.679397D+00	0.828815D+00	0.962570D+00
0.108001D+01	0.118612D+01	0.128762D+01	0.138181D+01	0.154120D+01	0.167662D+01
0.179372D+01	0.192285D+01				
0.326866D+00	0.423732D+00	0.502941D+00	0.570127D+00	0.632243D+00	0.694795D+00
0.760137D+00	0.831049D+00	0.910846D+00	0.100239D+01	0.110802D+01	0.122455D+01
0.135620D+01	0.150561D+01				
0.406975D+00	0.444379D+00	0.476714D+00	0.524115D+00	0.585129D+00	0.654831D+00
0.738382D+00	0.840137D+00	0.959801D+00	0.109536D+01	0.125172D+01	0.143105D+01
0.163083D+01	0.184870D+01				
0.494310D+00	0.549236D+00	0.636069D+00	0.726595D+00	0.826479D+00	0.942209D+00
0.107878D+01	0.124171D+01	0.143486D+01	0.164428D+01	0.196874D+01	0.230117D+01
0.262542D+01	0.296090D+01				
0.628601D+00	0.589152D+00	0.591535D+00	0.645311D+00	0.750976D+00	0.905864D+00
0.110328D+01	0.133114D+01	0.157449D+01	0.179626D+01	0.217361D+01	0.249378D+01
0.273934D+01	0.296755D+01				
0.431077D+00	0.500997D+00	0.669404D+00	0.863543D+00	0.105260D+01	0.123034D+01
0.139510D+01	0.155220D+01	0.170646D+01	0.183586D+01	0.213041D+01	0.236769D+01
0.254185D+01	0.271747D+01				
0.713484D+00	0.681078D+00	0.712778D+00	0.790682D+00	0.905313D+00	0.103891D+01
0.118429D+01	0.133566D+01	0.149306D+01	0.164254D+01	0.191488D+01	0.215432D+01
0.235729D+01	0.256847D+01				
0.651925D+00	0.707228D+00	0.779371D+00	0.865477D+00	0.968312D+00	0.108327D+01
0.120610D+01	0.134072D+01	0.148721D+01	0.162397D+01	0.188645D+01	0.211740D+01
0.230879D+01	0.250505D+01				
0.374780D+00	0.513024D+00	0.613025D+00	0.715189D+00	0.822965D+00	0.944443D+00
0.107647D+01	0.121271D+01	0.135371D+01	0.148549D+01	0.174361D+01	0.196556D+01
0.214745D+01	0.233480D+01				
0.261552D+00	0.470539D+00	0.597197D+00	0.699927D+00	0.797445D+00	0.895077D+00
0.100247D+01	0.112414D+01	0.125778D+01	0.138436D+01	0.161245D+01	0.181661D+01
0.198762D+01	0.215880D+01				
0.131793D+00	0.345602D+00	0.519792D+00	0.653452D+00	0.771218D+00	0.886476D+00
0.100091D+01	0.111501D+01	0.123095D+01	0.133623D+01	0.154628D+01	0.172350D+01
0.186454D+01	0.200897D+01				
0.428887D-01	0.143348D+00	0.277305D+00	0.423869D+00	0.561439D+00	0.686871D+00
0.803315D+00	0.914712D+00	0.102329D+01	0.111869D+01	0.128886D+01	0.143318D+01
0.154626D+01	0.165560D+01				
0.973589D-02	0.571436D-01	0.104393D+00	0.160456D+00	0.240355D+00	0.338794D+00
0.446552D+00	0.555993D+00	0.662219D+00	0.759487D+00	0.871987D+00	0.971523D+00
0.105696D+01	0.113695D+01				
0.904971D-01	0.212443D+00	0.347607D+00	0.487890D+00	0.623768D+00	0.744492D+00
0.849529D+00	0.939690D+00	0.101690D+01	0.108329D+01	0.114080D+01	0.119107D+01
0.123544D+01	0.127499D+01				
0.964343D-01	0.241457D+00	0.395815D+00	0.548122D+00	0.691425D+00	0.817531D+00
0.927736D+00	0.102332D+01	0.110617D+01	0.117828D+01	0.124145D+01	0.129718D+01
