0.212436D-06	0.554693D-05	0.176182D-04	0.276941D-04	0.327510D-04
0.340298D-04	0.339661D-04	0.334614D-04	0.328194D-04	0.321799D-04
0.315321D-04	0.307103D-04	0.297856D-04	0.286791D-04	
0.118490D-05	0.348235D-04	0.110658D-03	0.168158D-03	0.188620D-03
0.189046D-03	0.180687D-03	0.169733D-03	0.158723D-03	0.147388D-03
0.136072D-03	0.125266D-03	0.114767D-03	0.104932D-03	
0.718368D-05	0.156110D-03	0.414029D-03	0.587633D-03	0.667985D-03
0.681885D-03	0.659852D-03	0.616277D-03	0.562016D-03	0.504430D-03
0.448665D-03	0.397270D-03	0.350603D-03	0.308321D-03	
0.611556D-04	0.450083D-03	0.114768D-02	0.187910D-02	0.229421D-02
0.235481D-02	0.219923D-02	0.196273D-02	0.170114D-02	0.145876D-02
0.124330D-02	0.105796D-02	0.903497D-03	0.772665D-03	
0.304137D-03	0.312313D-02	0.759283D-02	0.102100D-01	0.104522D-01
0.943896D-02	0.799442D-02	0.662715D-02	0.545914D-02	0.450276D-02
0.374415D-02	0.313423D-02	0.264844D-02	0.226260D-02	
0.337296D-02	0.193727D-01	0.322017D-01	0.351045D-01	0.322548D-01
0.274936D-01	0.227791D-01	0.186715D-01	0.153085D-01	0.126615D-01
0.105548D-01	0.886905D-02	0.749580D-02	0.636764D-02	
0.355712D-01	0.699918D-01	0.842989D-01	0.851079D-01	0.774843D-01
0.664381D-01	0.551888D-01	0.452413D-01	0.369244D-01	0.300794D-01
0.245519D-01	0.201487D-01	0.166254D-01	0.137678D-01	
0.215377D+00	0.330446D+00	0.316260D+00	0.257079D+00	0.195803D+00
0.145504D+00	0.107279D+00	0.796734D-01	0.597215D-01	0.452674D-01
0.346785D-01	0.268825D-01	0.210856D-01	0.166885D-01	
0.162535D+01	0.858772D+00	0.584461D+00	0.436480D+00	0.332160D+00
0.253907D+00	0.194003D+00	0.148869D+00	0.115143D+00	0.896883D-01
0.704848D-01	0.559129D-01	0.447776D-01	0.361902D-01	
0.605911D+01	0.294704D+01	0.177100D+01	0.116264D+01	0.791587D+00
0.556699D+00	0.402242D+00	0.296892D+00	0.224596D+00	0.172313D+00
0.134737D+00	0.106549D+00	0.852946D-01	0.690429D-01	
0.776724D+00	0.725212D+00	0.590623D+00	0.456402D+00	0.341799D+00
0.254131D+00	0.189963D+00	0.143290D+00	0.109248D+00	0.842808D-01
0.659539D-01	0.522222D-01	0.418707D-01	0.338816D-01	
0.120788D+00	0.227622D+00	0.259625D+00	0.244796D+00	0.209037D+00
0.170345D+00	0.136212D+00	0.108223D+00	0.858523D-01	0.685488D-01
0.551140D-01	0.445382D-01	0.363130D-01	0.297840D-01	
0.238619D-01	0.707067D-01	0.943119D-01	0.979472D-01	0.900261D-01
