TITLE = "CFFC: 2D Advection Diffusion Equation Solution, Time Step/Iteration Level = 0, Time = 0"
VARIABLES = "x" \ 
"y" \ 
"u" \ 
"Vx" \ 
"Vy" \ 
"k" \ 
"s" \ 
"ValISu" \ 
"ISu" \ 
"ExactSoln" \ 
ZONE T =  "Block Number = 0" \ 
I = 60 \ 
J = 36 \ 
F = POINT 
  -1.12500000000000e+00 -1.25000000000000e+00  4.73302558656388e-04  6.25000000000000e+00 -5.62500000000000e+00 0 0 0.00000000000000e+00 0 0.00046457515181815
  -1.09375000000000e+00 -1.25000000000000e+00  5.29910279446723e-04  6.25000000000000e+00 -5.46875000000000e+00 0 0 0.00000000000000e+00 0 0.00052614070475894
  -1.06250000000000e+00 -1.25000000000000e+00  5.93702411756366e-04  6.25000000000000e+00 -5.31250000000000e+00 0 0 0.00000000000000e+00 0 0.00059467472452286
  -1.06250000000000e+00 -1.25000000000000e+00  6.06499575367282e-04  6.25000000000000e+00 -5.31250000000000e+00 0 0 0.00000000000000e+00 0 0.00059467472452286
  -1.03125000000000e+00 -1.25000000000000e+00  6.75992509214441e-04  6.25000000000000e+00 -5.15625000000000e+00 0 0 0.00000000000000e+00 0 0.00067074258080142
  -1.00000000000000e+00 -1.25000000000000e+00  7.53750808049194e-04  6.25000000000000e+00 -5.00000000000000e+00 0 0 0.00000000000000e+00 0 0.00075491349045418
  -1.00000000000000e+00 -1.25000000000000e+00  7.70753479551171e-04  6.25000000000000e+00 -5.00000000000000e+00 0 0 0.00000000000000e+00 0 0.00075491349045418
  -9.68750000000000e-01 -1.25000000000000e+00  8.54975990409390e-04  6.25000000000000e+00 -4.84375000000000e+00 0 0 0.00000000000000e+00 0 0.00084775123539234
  -9.37500000000000e-01 -1.25000000000000e+00  9.48459882200566e-04  6.25000000000000e+00 -4.68750000000000e+00 0 0 0.00000000000000e+00 0 0.00094980310668089
  -9.37500000000000e-01 -1.25000000000000e+00  9.70747819725798e-04  6.25000000000000e+00 -4.68750000000000e+00 0 0 0.00000000000000e+00 0 0.00094980310668089
  -9.06250000000000e-01 -1.25000000000000e+00  1.07139755939057e-03  6.25000000000000e+00 -4.53125000000000e+00 0 0 0.00000000000000e+00 0 0.0010615870081166
  -8.75000000000000e-01 -1.25000000000000e+00  1.18209583128971e-03  6.25000000000000e+00 -4.37500000000000e+00 0 0 0.00000000000000e+00 0 0.0011835767039583
  -8.75000000000000e-01 -1.25000000000000e+00  1.21086597922225e-03  6.25000000000000e+00 -4.37500000000000e+00 0 0 0.00000000000000e+00 0 0.0011835767039583
  -8.43750000000000e-01 -1.25000000000000e+00  1.32931048636251e-03  6.25000000000000e+00 -4.21875000000000e+00 0 0 0.00000000000000e+00 0 0.0013161852608927
  -8.12500000000000e-01 -1.25000000000000e+00  1.45822267761600e-03  6.25000000000000e+00 -4.06250000000000e+00 0 0 0.00000000000000e+00 0 0.0014597468143096
