27
-0.890  16.696  236.8
 SCAN  % CHORD      AP      RP  % SPD     T01  WNBEG
  178  -100.00  -8.128  16.331  100.4  492.0  127.7
  179   -80.00  -6.716  16.376  100.5  492.0  152.6
  180   -60.00  -5.304  16.420  100.2  492.0  174.3
  181   -50.50  -4.633  16.441  100.6  492.0  185.6
  182   -40.00  -3.891  16.464  100.3  492.0  194.7
  183   -20.00  -2.479  16.507  100.4  492.0  215.2
  184   -10.00  -1.773  16.593  100.3  492.0  223.8
  185    -5.00  -1.420  16.640  100.3  492.0  229.3
  186    -2.50  -1.243  16.664  100.4  492.0  231.5
  187     2.50  -0.890  16.696  100.4  492.0  236.8
  188     5.00  -0.714  16.704  100.2  492.0  239.3
  189     7.50  -0.537  16.711  100.5  492.0  241.8
  190    20.00   0.345  16.751  100.3  492.0  254.0
  191    30.00   1.052  16.782  100.3  492.0  262.9
  192    40.00   1.758  16.814  100.7  492.8  270.8
  193    50.00   2.464  16.845  100.5  493.2  276.9
  194    60.00   3.170  16.877  100.8  493.2  283.1
  195    70.00   3.876  16.908  100.8  493.2  288.7
  196    80.00   4.582  16.940  100.1  493.2  292.6
  197    90.00   5.288  16.971  100.7  493.2  297.0
  198   100.00   5.994  17.003  100.8  493.2  300.5
  199   112.88   6.904  17.050  100.3  493.2  305.3
  200   125.76   7.813  17.098  100.3  493.2  311.2
  201   138.63   8.722  17.146  100.4  493.2  317.2
  202   140.47   8.852  17.153  100.6  493.2  317.9
  203   151.51   9.632  17.196  100.5  493.2  323.3
  204   164.39  10.541  17.247  100.5  493.2  329.7
