30
-0.406  21.245  192.0
 SCAN  % CHORD      AP      RP  % SPD     T01  WNBEG
 1054  -100.00  -5.969  21.202  100.1  499.4  111.1
 1055   -80.00  -4.856  21.199  100.1  499.4  128.8
 1056   -75.98  -4.633  21.199  100.1  499.4  131.0
 1057   -60.00  -3.744  21.203  100.2  499.4  145.5
 1058   -40.00  -2.631  21.208  100.1  499.4  161.4
 1059   -20.00  -1.519  21.225  100.1  499.4  176.7
 1060   -10.00  -0.963  21.235  100.1  499.4  184.3
 1061    -5.00  -0.685  21.240  100.2  499.4  188.0
 1062    -2.50  -0.545  21.242  100.0  499.4  189.8
 1063     0.00  -0.406  21.245   99.9  499.4  192.0
 1064     2.50  -0.267  21.235  100.1  499.4  194.0
 1065     5.00  -0.128  21.226  100.1  499.4  196.1
 1066     7.50   0.011  21.217  100.1  499.4  198.1
 1067    10.00   0.150  21.208  100.0  501.8  200.1
 1068    20.00   0.706  21.172  100.0  501.8  207.7
 1069    30.00   1.262  21.136  100.1  501.8  214.8
 1070    40.00   1.819  21.099  100.1  501.8  221.7
 1071    50.00   2.375  21.063  100.2  503.3  228.2
 1072    60.00   2.931  21.027  100.1  503.3  234.3
 1073    70.00   3.487  20.990  100.0  503.3  239.9
 1074    80.00   4.044  20.954  100.0  503.3  245.0
 1075    90.00   4.600  20.918  100.3  503.3  249.8
 1076   100.00   5.156  20.881  100.1  503.7  253.7
 1077   118.71   6.197  20.866  100.1  497.0  263.9
 1078   137.97   7.268  20.851  100.0  497.0  273.7
 1079   157.23   8.340  20.835  100.1  497.0  283.3
 1080   166.44   8.852  20.828  100.0  497.0  288.0
 1081   176.49   9.411  20.831  100.1  497.0  293.2
 1082   195.75  10.483  20.836  100.1  497.9  302.9
 1083   205.89  11.046  20.847  100.1  497.9  308.5
