46
-0.076  22.708  163.0
 SCAN  % CHORD      AP      RP  % SPD     T01  WNBEG
  696  -100.00  -4.978  22.728  100.0  490.5   87.1
  697   -88.76  -4.427  22.717  100.1  490.5   96.4
  698   -80.00  -3.998  22.693  100.1  490.5  103.6
  699   -60.00  -3.018  22.640  100.0  490.5  119.2
  700   -40.00  -2.037  22.621  100.1  490.5  134.2
  701   -20.00  -1.057  22.664  100.0  490.5  148.6
  702   -10.00  -0.566  22.686  100.0  490.5  155.7
  703    -5.00  -0.321  22.697  100.0  490.5  159.2
  704    -2.50  -0.199  22.702   99.9  490.5  161.0
  705     0.00  -0.076  22.708  100.0  490.5  163.0
  706     2.50   0.046  22.694   99.9  490.5  164.9
  707     5.00   0.169  22.681   99.8  490.5  166.8
  708     7.50   0.291  22.668  100.0  490.5  168.7
  709    10.00   0.414  22.654  100.0  490.0  170.6
  710    12.50   0.537  22.641  100.0  490.0  172.5
  711    15.00   0.659  22.628  100.1  490.0  174.3
  712    17.50   0.782  22.614   99.9  490.0  176.1
  713    20.00   0.904  22.601   99.9  490.0  177.9
  714    22.50   1.027  22.588  100.1  490.0  179.7
  715    25.00   1.149  22.574  100.2  490.0  181.4
  716    27.50   1.272  22.561  100.1  490.0  183.1
  717    30.00   1.394  22.548  100.2  490.0  184.8
  718    32.50   1.517  22.534  100.0  490.0  186.5
  719    35.00   1.640  22.521  100.2  490.0  188.2
  720    37.50   1.762  22.508  100.4  490.0  189.8
  721    40.00   1.885  22.494   99.8  490.0  191.5
  722    42.50   2.007  22.481  100.0  490.0  193.1
  723    45.00   2.130  22.468   99.9  490.0  194.7
  724    47.50   2.252  22.454  100.0  490.0  196.3
  725    50.00   2.375  22.441   99.8  490.0  197.8
  726    52.50   2.497  22.428   99.9  490.0  199.4
  727    55.00   2.620  22.414   99.9  490.0  200.9
  728    57.50   2.743  22.401   99.9  490.0  202.4
  729    60.00   2.865  22.388   99.9  490.0  203.8
  730    62.50   2.988  22.374   99.9  490.0  205.3
  731    65.00   3.110  22.361   99.8  490.0  206.7
  732    70.00   3.355  22.334  100.0  490.0  209.4
  733    72.50   3.478  22.321   99.9  490.0  210.7
  734    75.00   3.600  22.308  100.0  490.0  212.0
  735   100.00   4.826  22.174  100.1  490.0  223.0
  736   121.39   5.875  22.137  100.3  490.0  233.6
  737   141.29   6.850  22.103  100.1  490.0  243.3
  738   161.19   7.826  22.068  100.1  490.0  253.2
  739   175.37   8.521  22.044  100.2  490.0  260.4
  740   182.12   8.852  22.032  100.1  490.0  263.3
  741   200.99   9.777  22.026  100.0  490.0  273.7
