24
-1.278  15.052  159.6
SCAN  % CHORD      AP      RP  % SPD     T01  WNBEG
 1161  -100.00  -8.951  14.526  100.0  492.5   53.6
 1162   -80.00  -7.416  14.602   99.9  492.5   79.0
 1163   -60.00  -5.882  14.678  100.0  492.5  101.3
 1164   -43.73  -4.633  14.740   99.9  492.5  112.8
 1165   -40.00  -4.347  14.755  100.0  492.5  122.2
 1166   -20.00  -2.812  14.836   99.9  492.5  142.2
 1167   -10.00  -2.045  14.919  100.0  492.5  152.1
 1168    -5.00  -1.661  14.985  100.0  492.5  156.6
 1169    -2.50  -1.469  15.019  100.0  491.5  157.0
 1170     0.00  -1.278  15.052   99.9  491.5  159.6
 1171     2.50  -1.086  15.068  100.1  491.5  162.2
 1172     5.00  -0.894  15.085  100.0  491.5  164.6
 1173     7.50  -0.702  15.101   99.9  491.5  167.0
 1174    10.00  -0.510  15.118  100.0  491.5  169.3
 1175    20.00   0.257  15.184  100.0  491.5  178.8
 1176    33.30   1.278  15.291  100.0  491.5  190.0
 1177    40.00   1.792  15.315   99.9  490.2  193.9
 1178    50.00   2.559  15.381   99.9  490.2  200.6
 1179    60.00   3.326  15.447  100.0  490.2  206.5
 1180    70.00   4.094  15.513  100.1  490.2  210.7
 1181    80.00   4.861  15.578   99.9  490.2  215.3
 1182    90.00   5.628  15.644  100.0  488.6  219.4
 1183   100.00   6.396  15.710  100.0  488.6  221.5
 1184   110.69   7.216  15.770  100.0  490.5  227.0

SCAN  % CHORD      AP      RP  % SPD     T01  WNBEG
 1161  -100.00  -8.951  14.526  100.0  492.5   53.6
 1162   -80.00  -7.416  14.602   99.9  492.5   79.0
 1163   -60.00  -5.882  14.678  100.0  492.5  101.3
 1164   -43.73  -4.633  14.740   99.9  492.5  112.8
 1165   -40.00  -4.347  14.755  100.0  492.5  122.2
 1166   -20.00  -2.812  14.836   99.9  492.5  142.2
 1167   -10.00  -2.045  14.919  100.0  492.5  152.1
 1168    -5.00  -1.661  14.985  100.0  492.5  156.6
 1169    -2.50  -1.469  15.019  100.0  491.5  157.0
 1170     0.00  -1.278  15.052   99.9  491.5  159.6
 1171     2.50  -1.086  15.068  100.1  491.5  162.2
 1172     5.00  -0.894  15.085  100.0  491.5  164.6
 1173     7.50  -0.702  15.101   99.9  491.5  167.0
 1174    10.00  -0.510  15.118  100.0  491.5  169.3
 1175    20.00   0.257  15.184  100.0  491.5  178.8
 1176    33.30   1.278  15.291  100.0  491.5  190.0
 1177    40.00   1.792  15.315   99.9  490.2  193.9
 1178    50.00   2.559  15.381   99.9  490.2  150.6
 1179    60.00   3.326  15.447  100.0  490.2  156.5
 1180    70.00   4.094  15.513  100.1  490.2  160.7
 1181    80.00   4.861  15.578   99.9  490.2  165.3
 1182    90.00   5.628  15.644  100.0  488.6  169.4
 1183   100.00   6.396  15.710  100.0  488.6  171.5
 1184   110.69   7.216  15.770  100.0  490.5  177.0
 

 Above are the modofoed WNBEG values
 Below are the original WNBEG values
 
