26
-1.549  13.343  162.3
 SCAN  % CHORD      AP      RP  % SPD     T01  WNBEG
 1185  -100.00  -9.754  12.556  100.1  487.5   39.7
 1186   -80.00  -8.113  12.685  100.2  487.5   69.9
 1187   -60.00  -6.472  12.814  100.1  487.5   96.1
 1188   -40.00  -4.831  12.943  100.4  487.5  119.4
 1189   -37.59  -4.633  12.959  100.2  487.5  122.6
 1190   -20.00  -3.190  13.070  100.3  487.5  141.3
 1191   -10.00  -2.370  13.136  100.3  487.5  151.8
 1192    -5.00  -1.960  13.239  100.4  487.5  156.8
 1193    -2.50  -1.755  13.291  100.3  487.5  159.3
 1194     0.00  -1.549  13.343  100.2  487.5  162.3
 1195     2.50  -1.344  13.369  100.2  487.5  165.5
 1196     5.00  -1.139  13.396  100.3  487.5  168.5
 1197     7.50  -0.934  13.423  100.1  487.5  171.4
 1198    10.00  -0.729  13.450  100.1  487.5  174.1
 1199    20.00   0.091  13.558  100.1  487.5  183.8
 1200    30.00   0.912  13.665  100.4  487.5  191.7
 1201    40.00   1.732  13.772  100.0  487.5  197.9
 1202    50.00   2.553  13.880   99.9  487.5  203.0
 1203    60.00   3.373  13.987   99.9  487.5  206.9
 1204    80.00   5.014  14.202  100.1  487.5  211.8
 1205    90.00   5.834  14.310   99.8  487.5  213.0
 1206   100.00   6.655  14.417  100.0  486.0  212.8
 1207   109.67   7.448  14.488   99.9  486.0  214.4
 1208   119.25   8.234  14.558   99.9  486.0  216.2
 1209   126.78   8.852  14.613  100.4  486.0  217.8
 1210   128.85   9.022  14.629  100.0  486.0  218.2
