29
-0.635  19.759  188.6
 SCAN  % CHORD      AP      RP  % SPD     T01  WNBEG
  121  -100.00  -6.629  19.641  100.4  496.4   97.8
  122   -80.00  -5.431  19.645  100.5  496.4  117.9
  123   -66.69  -4.633  19.647  100.5  496.4  129.5
  124   -60.00  -4.232  19.654  100.6  496.4  136.7
  125   -40.00  -3.033  19.674  100.4  496.4  154.5
  126   -20.00  -1.834  19.708  100.5  496.4  171.6
  127   -10.00  -1.234  19.733  100.6  502.6  180.0
  128    -5.00  -0.935  19.746  100.5  502.6  184.1
  129    -2.50  -0.785  19.752  100.2  502.6  186.2
  130     0.00  -0.635  19.759   99.8  502.6  188.6
  131     2.50  -0.485  19.754  100.2  502.6  190.9
  132     5.00  -0.335  19.750  100.4  502.6  193.2
  133     7.50  -0.185  19.746  100.2  502.6  195.4
  134    10.00  -0.036  19.742   99.9  502.6  197.6
  135    20.00   0.564  19.725  101.0  500.6  206.0
  136    30.00   1.163  19.708  100.5  500.6  213.9
  137    40.00   1.763  19.691  100.5  500.6  221.2
  138    50.00   2.362  19.674  100.4  500.6  228.1
  139    60.00   2.962  19.657  100.3  500.6  234.3
  140    70.00   3.561  19.640  100.5  500.6  240.0
  141    80.00   4.161  19.623  100.5  500.6  245.3
  142    90.00   4.760  19.605  100.5  500.6  250.1
  143   100.00   5.359  19.588  100.4  500.6  254.0
  144   117.38   6.401  19.597  100.4  500.6  263.1
  145   134.47   7.425  19.605  100.3  500.6  271.8
  146   151.55   8.450  19.613  100.3  500.6  280.7
  147   158.26   8.852  19.616  100.2  500.6  284.3
  148   168.64   9.474  19.629  100.5  500.6  289.8
  149   185.81  10.503  19.649  100.5  497.1  308.3
