30
-0.203  22.708  193.0
 SCAN  % CHORD      AP      RP  % SPD     T01  WNBEG
 1024  -100.00  -5.385  22.729  100.1  498.0  117.1
 1025   -88.76  -4.802  22.728  100.2  498.0  126.4
 1026   -80.00  -4.348  22.712   99.9  498.0  133.6
 1027   -60.00  -3.312  22.656   99.9  498.0  149.2
 1028   -40.00  -2.276  22.611  100.0  498.0  164.2
 1029   -20.00  -1.240  22.659  100.0  498.0  178.6
 1030   -10.00  -0.721  22.683   99.9  498.0  185.7
 1031   -10.00  -0.721  22.683  100.0  498.0  185.7
 1032    -5.00  -0.462  22.696   99.9  498.0  189.2
 1033    -2.50  -0.333  22.702   99.9  498.0  191.0
 1034     0.00  -0.203  22.708   99.8  498.0  193.0
 1035     2.50  -0.074  22.694   99.9  498.0  194.9
 1036     5.00   0.056  22.681   99.9  498.0  196.8
 1037     7.50   0.185  22.668   99.9  498.0  198.7
 1038    10.00   0.315  22.654  100.0  498.0  200.6
 1039    20.00   0.833  22.601   99.8  498.0  207.9
 1040    30.00   1.351  22.548   99.8  498.0  214.8
 1041    40.00   1.869  22.494  100.1  498.0  221.5
 1042    50.00   2.388  22.441  100.0  498.0  227.8
 1043    60.00   2.906  22.388  100.1  498.0  233.8
 1044    70.00   3.424  22.334  100.0  498.0  239.4
 1045    80.00   3.942  22.281   99.9  498.0  244.4
 1046    90.00   4.460  22.228   99.9  498.0  249.1
 1047   100.00   4.978  22.174   99.8  497.0  253.0
 1048   121.39   6.087  22.133  100.1  497.0  263.6
 1049   141.29   7.118  22.096  100.0  497.0  273.3
 1050   161.19   8.149  22.058   99.9  497.0  283.2
 1051   175.37   8.884  22.032  100.1  497.0  290.4
 1052   181.09   9.180  22.030  100.2  497.0  293.3
 1053   200.99  10.212  22.023  100.1  497.0  303.7
