26
-0.787  18.247  188.8
SCAN  % CHORD      AP      RP  % SPD     T01  WNBEG
 1107  -100.00  -7.264  17.999  100.1  490.0   93.9
 1108   -80.00  -5.969  18.031  100.1  490.0  115.4
 1109   -60.00  -4.674  18.063  100.0  490.0  135.1
 1110   -59.37  -4.633  18.064  100.1  490.0  136.7
 1111   -40.00  -3.378  18.090  100.0  490.0  153.6
 1112   -10.00  -1.435  18.192  100.1  490.0  179.9
 1113    -5.00  -1.111  18.220  100.0  490.0  184.2
 1114    -2.50  -0.949  18.233  100.1  490.0  186.3
 1115     0.00  -0.787  18.247  100.3  490.0  188.8
 1116     2.50  -0.625  18.249  100.1  490.0  191.3
 1117     5.00  -0.464  18.250  100.5  490.0  193.6
 1118     7.50  -0.302  18.251  100.3  490.0  196.0
 1119    10.00  -0.140  18.252  100.1  490.0  198.2
 1120    20.00   0.508  18.257  100.2  490.0  206.8
 1121    30.00   1.156  18.262  100.2  490.0  214.7
 1122    40.00   1.803  18.267  100.2  490.0  221.9
 1123    50.00   2.451  18.271  100.1  490.0  228.3
 1124    60.00   3.099  18.276  100.2  490.0  234.1
 1125    70.00   3.746  18.281  100.3  490.0  239.2
 1126    80.00   4.394  18.286  100.2  490.0  243.9
 1127    90.00   5.042  18.291  100.2  490.0  248.0
 1128   100.00   5.690  18.296  100.2  490.0  251.4
 1129   114.72   6.643  18.325  100.1  490.0  258.1
 1130   129.68   7.612  18.356  100.2  490.0  264.8
 1131   148.82   8.852  18.395   99.9  490.0  273.5
 1132   159.59   9.549  18.420  100.0  490.0  278.6

SCAN  % CHORD      AP      RP  % SPD     T01  WNBEG
 1107  -100.00  -7.264  17.999  100.1  490.0   93.9
 1108   -80.00  -5.969  18.031  100.1  490.0  115.4
 1109   -60.00  -4.674  18.063  100.0  490.0  135.1
 1110   -59.37  -4.633  18.064  100.1  490.0  136.7
 1111   -40.00  -3.378  18.090  100.0  490.0  153.6
 1112   -10.00  -1.435  18.192  100.1  490.0  179.9
 1113    -5.00  -1.111  18.220  100.0  490.0  184.2
 1114    -2.50  -0.949  18.233  100.1  490.0  186.3
 1115     0.00  -0.787  18.247  100.3  490.0  188.8
 1116     2.50  -0.625  18.249  100.1  490.0  191.3
 1117     5.00  -0.464  18.250  100.5  490.0  193.6
 1118     7.50  -0.302  18.251  100.3  490.0  196.0
 1119    10.00  -0.140  18.252  100.1  490.0  198.2
 1120    20.00   0.508  18.257  100.2  490.0  206.8
 1121    30.00   1.156  18.262  100.2  490.0  214.7
 1122    40.00   1.803  18.267  100.2  490.0  221.9
 1123    50.00   2.451  18.271  100.1  490.0  228.3
 1124    60.00   3.099  18.276  100.2  490.0  234.1
 1125    70.00   3.746  18.281  100.3  490.0  239.2
 1126    80.00   4.394  18.286  100.2  490.0  243.9
 1127    90.00   5.042  18.291  100.2  490.0  248.0
 1128   100.00   5.690  18.296  100.2  490.0  201.4
 1129   114.72   6.643  18.325  100.1  490.0  208.1
 1130   129.68   7.612  18.356  100.2  490.0  214.8
 1131   148.82   8.852  18.395   99.9  490.0  223.5
 1132   159.59   9.549  18.420  100.0  490.0  228.6
 


 Above are the modified WNBEG values
 Below are the original WNBEG values
 
