29
-1.648  13.343  233.3
 SCAN  % CHORD      AP      RP  % SPD     T01  WNBEG
  230  -100.00  -9.952  12.540  100.5  504.4   99.6
  231   -80.00  -8.291  12.671  100.4  504.4  132.7
  232   -60.00  -6.630  12.802  100.3  504.4  160.7
  233   -40.00  -4.970  12.933  100.5  504.4  185.8
  234   -35.94  -4.633  12.959  100.2  504.4  191.3
  235   -20.00  -3.309  13.061  100.2  504.4  210.5
  236   -10.00  -2.479  13.125  100.5  504.4  221.9
  237    -5.00  -2.064  13.224  100.5  504.4  226.9
  238    -2.50  -1.856  13.283  100.3  504.4  230.3
  239     0.00  -1.648  13.343  100.4  504.4  233.3
  240     2.50  -1.441  13.369  100.4  504.4  236.5
  241     5.00  -1.233  13.396  100.5  504.4  239.4
  242     7.50  -1.026  13.423  100.4  504.4  243.3
  243    10.00  -0.818  13.450  100.8  504.4  246.0
  244    20.00   0.012  13.558  100.8  504.4  258.6
  245    30.00   0.843  13.665  100.5  504.4  266.4
  246    40.00   1.673  13.772  100.7  504.4  272.5
  247    50.00   2.503  13.880  100.5  504.4  277.5
  248    60.00   3.333  13.987  100.8  504.4  284.3
  249    70.00   4.164  14.095  100.7  504.4  288.1
  250    80.00   4.994  14.202  100.8  504.4  291.0
  251    90.00   5.824  14.310  100.7  504.4  293.1
  252   100.00   6.655  14.417  100.8  504.4  293.8
  253   109.56   7.448  14.488  100.8  504.4  297.3
  254   119.02   8.234  14.558  100.7  504.4  300.0
  255   126.46   8.852  14.613  100.7  504.4  302.5
  256   128.50   9.022  14.629  100.8  504.4  302.9
  257   137.95   9.806  14.703  100.8  504.4  306.1
  258   147.42  10.592  14.778  100.7  504.4  309.5
