 Table IV NASA Rotor 37 Blade Geometry
 Z and R are in centimeters

 SURFACE NUMBER     1 FROM THE HUB - hub/blade intersection.
    J      Z           R         THETA 1     THETA 2
   78   3.8913822  20.8015251   0.0885409   0.0848521
   79   3.9020555  20.8020382   0.0888050   0.0853004
   80   3.9121628  20.8025246   0.0890540   0.0857242
   81   3.9211807  20.8029652   0.0892752   0.0861022
   82   3.9292130  20.8033504   0.0894716   0.0864385
   83   3.9363444  20.8037014   0.0896455   0.0867369
   84   3.9426618  20.8040142   0.0897991   0.0870010
   85   3.9482412  20.8042850   0.0899346   0.0872342
   86   3.9531538  20.8045273   0.0900498   0.0874393
   87   3.9574659  20.8047409   0.0901070   0.0876193
   88   3.9612415  20.8049259   0.0901203   0.0877769
   89   3.9645431  20.8050880   0.0901051   0.0879147
   90   3.9674187  20.8052349   0.0900705   0.0880346
   91   3.9699256  20.8053570   0.0900225   0.0881393
   92   3.9721098  20.8054638   0.0899648   0.0882303
   93   3.9740148  20.8055611   0.0898999   0.0883097
   94   3.9756725  20.8056450   0.0898294   0.0883809
   95   3.9771163  20.8057175   0.0897538   0.0884564
   96   3.9783738  20.8057785   0.0896731   0.0885370
   97   3.9794693  20.8058319   0.0895861   0.0886242
   98   3.9804208  20.8058796   0.0894890   0.0887211
   99   3.9812500  20.8059216   0.0893709   0.0888392
  100   3.9819870  20.8059578   0.0891051   0.0891051
 SURFACE NUMBER     6 FROM THE HUB.
    J      Z           R         THETA 1     THETA 2
    1   0.2510093  21.1617737  -0.1075098  -0.1075098
    2   0.2516874  21.1617889  -0.1072649  -0.1077547
    3   0.2524703  21.1618118  -0.1071543  -0.1078651
    4   0.2533702  21.1618366  -0.1070632  -0.1079563
    5   0.2544094  21.1618671  -0.1069767  -0.1080380
    6   0.2556036  21.1618977  -0.1068786  -0.1081138
    7   0.2569763  21.1619396  -0.1067658  -0.1081849
    8   0.2585549  21.1619816  -0.1066363  -0.1082511
    9   0.2603691  21.1620331  -0.1064874  -0.1083120
   10   0.2624506  21.1620922  -0.1063166  -0.1083663
   11   0.2648372  21.1621628  -0.1061206  -0.1084114
   12   0.2675798  21.1622410  -0.1058957  -0.1084438
   13   0.2707262  21.1623325  -0.1056377  -0.1084580
   14   0.2743277  21.1624393  -0.1053424  -0.1084456
   15   0.2784458  21.1625671  -0.1050050  -0.1083918
   16   0.2831378  21.1627064  -0.1046207  -0.1082674
   17   0.2884683  21.1628780  -0.1041844  -0.1080008
   18   0.2945075  21.1630630  -0.1036906  -0.1076476
   19   0.3013277  21.1632881  -0.1031333  -0.1072487
   20   0.3090070  21.1635437  -0.1025063  -0.1067995
   21   0.3176347  21.1638393  -0.1018028  -0.1062950
   22   0.3273015  21.1641827  -0.1010157  -0.1057297
   23   0.3381120  21.1645775  -0.1001372  -0.1050976
   24   0.3495144  21.1650124  -0.0992119  -0.1044305
   25   0.3621698  21.1655159  -0.0981875  -0.1036903
   26   0.3761876  21.1660919  -0.0970555  -0.1028705
   27   0.3916921  21.1667557  -0.0958068  -0.1019636
   28   0.4088257  21.1675186  -0.0944317  -0.1009615
   29   0.4277361  21.1683922  -0.0929196  -0.0998553
   30   0.4485886  21.1693974  -0.0912593  -0.0986356
   31   0.4728040  21.1706104  -0.0893405  -0.0972186
   32   0.4996192  21.1720104  -0.0872272  -0.0956488
   33   0.5293350  21.1736259  -0.0848986  -0.0939078
   34   0.5623018  21.1754932  -0.0823300  -0.0919736
   35   0.5989469  21.1776390  -0.0794913  -0.0898193
   36   0.6397934  21.1801128  -0.0763451  -0.0874107
   37   0.6854420  21.1829491  -0.0728515  -0.0847115
   38   0.7362157  21.1861725  -0.0689964  -0.0817048
   39   0.7948933  21.1899395  -0.0645877  -0.0782344
   40   0.8594415  21.1940765  -0.0597968  -0.0744304
   41   0.9304482  21.1985722  -0.0545836  -0.0702610
   42   1.0085638  21.2034798  -0.0488851  -0.0656793
   43   1.0944897  21.2089119  -0.0426618  -0.0606341
   44   1.1890008  21.2150307  -0.0359595  -0.0550757
   45   1.2929415  21.2220650  -0.0287702  -0.0489441
   46   1.4072407  21.2303200  -0.0208104  -0.0421492
   47   1.5329132  21.2400761  -0.0120357  -0.0346736
   48   1.6711283  21.2510967  -0.0028592  -0.0265571
   49   1.8232108  21.2627144   0.0065674  -0.0175232
   50   1.9906408  21.2736950   0.0164463  -0.0075608
   51   2.1582301  21.2821293   0.0257996   0.0022514
   52   2.3259056  21.2887306   0.0343791   0.0118761
   53   2.4783709  21.2939243   0.0415925   0.0203638
   54   2.6169844  21.2985229   0.0478049   0.0278305
   55   2.7430041  21.3025837   0.0531877   0.0344795
   56   2.8575745  21.3060379   0.0578767   0.0404579
   57   2.9617395  21.3088760   0.0619706   0.0458249
   58   3.0564439  21.3111210   0.0655402   0.0505984
   59   3.1425467  21.3128738   0.0686594   0.0548511
   60   3.2208242  21.3142529   0.0713958   0.0586651
   61   3.2919912  21.3153706   0.0738070   0.0620930
   62   3.3566906  21.3163033   0.0759413   0.0651737
   63   3.4155085  21.3170967   0.0778377   0.0679439
   64   3.4664061  21.3177643   0.0794476   0.0703193
   65   3.5121632  21.3183460   0.0808718   0.0724394
   66   3.5531003  21.3188667   0.0821285   0.0743254
   67   3.5898266  21.3193398   0.0832416   0.0760095
   68   3.6228590  21.3197746   0.0842300   0.0775187
   69   3.6526294  21.3201752   0.0851095   0.0788752
   70   3.6794941  21.3205433   0.0858926   0.0800965
   71   3.7037518  21.3208866   0.0865907   0.0811972
   72   3.7246375  21.3211899   0.0871849   0.0821437
   73   3.7435756  21.3214741   0.0877182   0.0830011
   74   3.7607315  21.3217335   0.0881968   0.0837771
   75   3.7762585  21.3219795   0.0886266   0.0844790
   76   3.7902944  21.3222008   0.0890121   0.0851129
   77   3.8029611  21.3224049   0.0893580   0.0856850
   78   3.8143773  21.3225899   0.0896680   0.0862002
   79   3.8246517  21.3227654   0.0899456   0.0866636
   80   3.8343763  21.3229256   0.0902073   0.0871022
   81   3.8430557  21.3230762   0.0904401   0.0874936
   82   3.8507848  21.3232098   0.0906466   0.0878418
   83   3.8576512  21.3233299   0.0908296   0.0881511
   84   3.8637283  21.3234406   0.0909914   0.0884251
   85   3.8690972  21.3235340   0.0911339   0.0886668
   86   3.8738246  21.3236198   0.0912591   0.0888798
   87   3.8779745  21.3236942   0.0913397   0.0890667
   88   3.8816073  21.3237629   0.0913697   0.0892303
   89   3.8847840  21.3238182   0.0913680   0.0893732
   90   3.8875506  21.3238716   0.0913454   0.0894979
   91   3.8899641  21.3239174   0.0913084   0.0896067
   92   3.8920650  21.3239555   0.0912611   0.0897013
   93   3.8938985  21.3239861   0.0912062   0.0897838
   94   3.8954935  21.3240204   0.0911452   0.0898555
   95   3.8968816  21.3240452   0.0910792   0.0899224
   96   3.8980920  21.3240681   0.0910082   0.0899934
   97   3.8991446  21.3240891   0.0909311   0.0900706
   98   3.9000607  21.3241043   0.0908445   0.0901570
   99   3.9008586  21.3241215   0.0907390   0.0902625
  100   3.9015684  21.3241329   0.0905008   0.0905008
 SURFACE NUMBER     7 FROM THE HUB.
    J      Z           R         THETA 1     THETA 2
    1   0.2974982  21.8360138  -0.1057052  -0.1057052
    2   0.2981562  21.8360043  -0.1054875  -0.1059230
    3   0.2989087  21.8359966  -0.1053896  -0.1060209
    4   0.2997777  21.8359852  -0.1053091  -0.1061014
    5   0.3007796  21.8359756  -0.1052288  -0.1061733
    6   0.3019333  21.8359585  -0.1051366  -0.1062393
    7   0.3032576  21.8359470  -0.1050307  -0.1063007
    8   0.3047828  21.8359280  -0.1049089  -0.1063572
    9   0.3065315  21.8359070  -0.1047690  -0.1064080
   10   0.3085397  21.8358841  -0.1046086  -0.1064517
   11   0.3108453  21.8358593  -0.1044244  -0.1064857
   12   0.3134891  21.8358326  -0.1042130  -0.1065057
   13   0.3165268  21.8357983  -0.1039706  -0.1065061
   14   0.3200019  21.8357620  -0.1036931  -0.1064761
   15   0.3239757  21.8357258  -0.1033760  -0.1063969
   16   0.3285034  21.8356800  -0.1030147  -0.1062201
   17   0.3336470  21.8356400  -0.1026045  -0.1059254
   18   0.3394768  21.8355865  -0.1021402  -0.1055900
   19   0.3460568  21.8355331  -0.1016160  -0.1052108
   20   0.3534709  21.8354816  -0.1010262  -0.1047833
   21   0.3617975  21.8354282  -0.1003643  -0.1043026
   22   0.3711286  21.8353767  -0.0996235  -0.1037635
   23   0.3815599  21.8353310  -0.0987964  -0.1031597
   24   0.3925709  21.8352966  -0.0979249  -0.1025213
   25   0.4047865  21.8352737  -0.0969596  -0.1018118
   26   0.4183189  21.8352623  -0.0958923  -0.1010240
   27   0.4332899  21.8352699  -0.0947145  -0.1001502
   28   0.4498350  21.8353043  -0.0934165  -0.0991818
   29   0.4680937  21.8353672  -0.0919882  -0.0981094
   30   0.4882337  21.8354683  -0.0904184  -0.0969227
   31   0.5116230  21.8356209  -0.0886025  -0.0955397
   32   0.5375238  21.8358421  -0.0866001  -0.0940032
   33   0.5662292  21.8361320  -0.0843906  -0.0922966
   34   0.5980793  21.8365116  -0.0819496  -0.0904022
   35   0.6334864  21.8369961  -0.0792471  -0.0883000
   36   0.6729566  21.8375931  -0.0762459  -0.0859665
   37   0.7170722  21.8383217  -0.0729057  -0.0833704
   38   0.7661434  21.8391800  -0.0692102  -0.0804881
   39   0.8228503  21.8402081  -0.0649701  -0.0771489
   40   0.8852334  21.8413200  -0.0603461  -0.0734530
   41   0.9538547  21.8424988  -0.0553018  -0.0693662
   42   1.0293422  21.8437614  -0.0497879  -0.0648675
   43   1.1123792  21.8451729  -0.0437707  -0.0599184
   44   1.2037189  21.8468513  -0.0372626  -0.0544315
   45   1.3041849  21.8489494  -0.0302456  -0.0483477
   46   1.4146923  21.8516960  -0.0225768  -0.0417109
   47   1.5362313  21.8552742  -0.0141873  -0.0344227
   48   1.6699204  21.8594494  -0.0051308  -0.0262694
   49   1.8169980  21.8636036   0.0045970  -0.0173545
   50   1.9788268  21.8666477   0.0148003  -0.0075968
   51   2.1406901  21.8675404   0.0242629   0.0022404
   52   2.3025632  21.8668842   0.0330150   0.0119052
   53   2.4497209  21.8656273   0.0404746   0.0203685
   54   2.5835018  21.8644009   0.0468995   0.0279177
   55   2.7051225  21.8632126   0.0524787   0.0347028
   56   2.8156872  21.8619709   0.0573190   0.0407185
   57   2.9161983  21.8606224   0.0615194   0.0460620
   58   3.0075688  21.8591518   0.0651777   0.0508775
   59   3.0906317  21.8576050   0.0683907   0.0552249
   60   3.1661370  21.8560524   0.0712389   0.0591397
   61   3.2347772  21.8545570   0.0737733   0.0626584
   62   3.2971785  21.8531532   0.0760310   0.0658149
   63   3.3539090  21.8518562   0.0780423   0.0686457
   64   3.4029982  21.8507347   0.0797471   0.0710665
   65   3.4471283  21.8497276   0.0812474   0.0732215
   66   3.4866130  21.8488407   0.0825617   0.0751338
   67   3.5220299  21.8480644   0.0837185   0.0768382
   68   3.5538909  21.8473759   0.0847432   0.0783650
   69   3.5826051  21.8467789   0.0856556   0.0797374
   70   3.6085167  21.8462448   0.0864709   0.0809743
   71   3.6319115  21.8457794   0.0872014   0.0820908
   72   3.6520565  21.8453941   0.0878267   0.0830524
   73   3.6703224  21.8450508   0.0883908   0.0839245
   74   3.6868734  21.8447456   0.0888997   0.0847148
   75   3.7018502  21.8444767   0.0893588   0.0854306
   76   3.7153881  21.8442383   0.0897725   0.0860779
   77   3.7276077  21.8440285   0.0901451   0.0866625
   78   3.7386198  21.8438416   0.0904800   0.0871894
   79   3.7485306  21.8436794   0.0907808   0.0876636
   80   3.7579129  21.8435249   0.0910650   0.0881128
   81   3.7662842  21.8433952   0.0913183   0.0885136
   82   3.7737405  21.8432751   0.0915436   0.0888707
   83   3.7803597  21.8431721   0.0917434   0.0891877
   84   3.7862256  21.8430862   0.0919202   0.0894687
   85   3.7914026  21.8430061   0.0920762   0.0897167
   86   3.7959638  21.8429375   0.0922134   0.0899353
   87   3.7999673  21.8428802   0.0922988   0.0901270
   88   3.8034730  21.8428249   0.0923326   0.0902951
   89   3.8065352  21.8427830   0.0923348   0.0904418
   90   3.8092060  21.8427429   0.0923164   0.0905698
   91   3.8115332  21.8427124   0.0922839   0.0906814
   92   3.8135602  21.8426800   0.0922412   0.0907785
   93   3.8153286  21.8426533   0.0921912   0.0908632
   94   3.8168695  21.8426342   0.0921353   0.0909370
   95   3.8182096  21.8426170   0.0920746   0.0910020
   96   3.8193777  21.8425999   0.0920091   0.0910675
   97   3.8203921  21.8425846   0.0919376   0.0911390
   98   3.8212745  21.8425732   0.0918575   0.0912191
   99   3.8220453  21.8425636   0.0917597   0.0913170
  100   3.8227301  21.8425522   0.0915383   0.0915383
 SURFACE NUMBER     8 FROM THE HUB.
    J      Z           R         THETA 1     THETA 2
    1   0.3415819  22.5104351  -0.1046687  -0.1046687
    2   0.3422144  22.5103970  -0.1044601  -0.1048773
    3   0.3429390  22.5103588  -0.1043660  -0.1049714
    4   0.3437751  22.5103130  -0.1042887  -0.1050488
    5   0.3447387  22.5102634  -0.1042142  -0.1051180
    6   0.3458469  22.5102005  -0.1041287  -0.1051820
    7   0.3471232  22.5101337  -0.1040302  -0.1052416
    8   0.3485899  22.5100517  -0.1039172  -0.1052970
    9   0.3502725  22.5099602  -0.1037873  -0.1053474
   10   0.3522047  22.5098572  -0.1036381  -0.1053914
   11   0.3544215  22.5097389  -0.1034670  -0.1054270
   12   0.3569666  22.5096035  -0.1032707  -0.1054507
   13   0.3598877  22.5094433  -0.1030453  -0.1054571
   14   0.3632315  22.5092659  -0.1027873  -0.1054380
   15   0.3670535  22.5090656  -0.1024924  -0.1053782
   16   0.3714092  22.5088348  -0.1021563  -0.1052448
   17   0.3763611  22.5085793  -0.1017744  -0.1049719
   18   0.3819656  22.5082836  -0.1013417  -0.1046392
   19   0.3882985  22.5079594  -0.1008532  -0.1042632
   20   0.3954325  22.5075970  -0.1003030  -0.1038397
   21   0.4034438  22.5071926  -0.0996849  -0.1033636
   22   0.4124212  22.5067463  -0.0989923  -0.1028299
   23   0.4224607  22.5062580  -0.0982180  -0.1022329
   24   0.4330550  22.5057526  -0.0974007  -0.1016021
   25   0.4448100  22.5052071  -0.0964939  -0.1009019
   26   0.4578341  22.5046082  -0.0954892  -0.1001252
   27   0.4722412  22.5039597  -0.0943777  -0.0992650
   28   0.4881639  22.5032673  -0.0931492  -0.0983131
   29   0.5057402  22.5025177  -0.0917933  -0.0972608
   30   0.5251267  22.5017147  -0.0902981  -0.0960984
   31   0.5476390  22.5008125  -0.0885621  -0.0947455
   32   0.5725767  22.4998455  -0.0866406  -0.0932436
   33   0.6002128  22.4988117  -0.0845134  -0.0915744
   34   0.6308775  22.4977055  -0.0821580  -0.0897171
   35   0.6649731  22.4965210  -0.0795470  -0.0876454
   36   0.7029799  22.4952450  -0.0766484  -0.0853279
   37   0.7454605  22.4938583  -0.0734249  -0.0827316
   38   0.7927198  22.4923515  -0.0698598  -0.0798463
   39   0.8473330  22.4906292  -0.0657665  -0.0765318
   40   0.9074095  22.4887142  -0.0612982  -0.0729179
   41   0.9734926  22.4865685  -0.0564282  -0.0689586
   42   1.0461845  22.4841747  -0.0511314  -0.0645724
   43   1.1261491  22.4815559  -0.0453686  -0.0596852
   44   1.2141132  22.4787712  -0.0390657  -0.0542558
   45   1.3108811  22.4759178  -0.0321520  -0.0482743
   46   1.4173379  22.4731293  -0.0245943  -0.0417845
   47   1.5344518  22.4704952  -0.0164053  -0.0346504
   48   1.6632848  22.4677830  -0.0075533  -0.0266044
   49   1.8049996  22.4644203   0.0022382  -0.0177488
   50   1.9608616  22.4594631   0.0126749  -0.0080842
   51   2.1166644  22.4527321   0.0223878   0.0016946
   52   2.2724175  22.4447422   0.0314004   0.0113862
   53   2.4139876  22.4369469   0.0391100   0.0199455
   54   2.5426891  22.4298153   0.0457506   0.0276268
   55   2.6596916  22.4232998   0.0514444   0.0345142
   56   2.7660475  22.4172802   0.0563693   0.0405876
   57   2.8627315  22.4116745   0.0606762   0.0459603
   58   2.9506187  22.4064159   0.0644778   0.0507939
   59   3.0305059  22.4015083   0.0678414   0.0551637
   60   3.1031229  22.3969631   0.0708176   0.0591144
   61   3.1691372  22.3927956   0.0734525   0.0626805
   62   3.2291543  22.3890057   0.0757880   0.0658928
   63   3.2837167  22.3855705   0.0778606   0.0687835
   64   3.3309305  22.3826199   0.0796147   0.0712593
   65   3.3733759  22.3799839   0.0811601   0.0734633
   66   3.4113553  22.3776569   0.0825175   0.0754168
   67   3.4454231  22.3755970   0.0837166   0.0771553
   68   3.4760714  22.3737659   0.0847826   0.0787100
   69   3.5036917  22.3721371   0.0857353   0.0801057
   70   3.5286193  22.3706818   0.0865898   0.0813617
   71   3.5511246  22.3693905   0.0873582   0.0824939
   72   3.5705063  22.3682919   0.0880179   0.0834676
   73   3.5880778  22.3673038   0.0886147   0.0843499
   74   3.6039984  22.3664188   0.0891546   0.0851489
   75   3.6184075  22.3656254   0.0896425   0.0858716
   76   3.6314325  22.3649158   0.0900832   0.0865249
   77   3.6431909  22.3642807   0.0904804   0.0871141
   78   3.6537862  22.3637085   0.0908382   0.0876452
   79   3.6633201  22.3632030   0.0911598   0.0881227
   80   3.6723475  22.3627224   0.0914641   0.0885748
   81   3.6804056  22.3623009   0.0917356   0.0889784
   82   3.6875801  22.3619213   0.0919771   0.0893376
   83   3.6939516  22.3615932   0.0921915   0.0896565
   84   3.6995928  22.3613014   0.0923814   0.0899390
   85   3.7045782  22.3610439   0.0925490   0.0901885
   86   3.7089648  22.3608150   0.0926859   0.0904081
   87   3.7128179  22.3606205   0.0927534   0.0906009
   88   3.7161915  22.3604469   0.0927774   0.0907698
   89   3.7191374  22.3602982   0.0927740   0.0909171
   90   3.7217071  22.3601665   0.0927526   0.0910458
   91   3.7239461  22.3600521   0.0927186   0.0911579
   92   3.7258978  22.3599510   0.0926757   0.0912556
   93   3.7275975  22.3598671   0.0926262   0.0913406
   94   3.7290776  22.3597946   0.0925715   0.0914148
   95   3.7303679  22.3597279   0.0925124   0.0914789
   96   3.7314923  22.3596706   0.0924487   0.0915424
   97   3.7324698  22.3596230   0.0923797   0.0916115
   98   3.7333186  22.3595791   0.0923025   0.0916887
   99   3.7340593  22.3595409   0.0922083   0.0917830
  100   3.7347152  22.3595066   0.0919957   0.0919957
 SURFACE NUMBER     9 FROM THE HUB.
    J      Z           R         THETA 1     THETA 2
    1   0.4127303  23.1825142  -0.1023966  -0.1023967
    2   0.4133376  23.1824532  -0.1022012  -0.1025921
    3   0.4140317  23.1823826  -0.1021131  -0.1026801
    4   0.4148352  23.1823063  -0.1020407  -0.1027527
    5   0.4157602  23.1822166  -0.1019702  -0.1028175
    6   0.4168248  23.1821060  -0.1018891  -0.1028776
    7   0.4180501  23.1819897  -0.1017957  -0.1029335
    8   0.4194560  23.1818504  -0.1016883  -0.1029855
    9   0.4210728  23.1816883  -0.1015649  -0.1030327
   10   0.4229285  23.1815071  -0.1014234  -0.1030742
   11   0.4250568  23.1812954  -0.1012609  -0.1031077
   12   0.4275002  23.1810551  -0.1010744  -0.1031301
   13   0.4303053  23.1807766  -0.1008603  -0.1031365
   14   0.4335147  23.1804600  -0.1006153  -0.1031192
   15   0.4371847  23.1801033  -0.1003351  -0.1030642
   16   0.4413686  23.1796913  -0.1000158  -0.1029418
   17   0.4461206  23.1792297  -0.0996529  -0.1026780
   18   0.4515029  23.1787033  -0.0992418  -0.1023499
   19   0.4575830  23.1781139  -0.0987774  -0.1019795
   20   0.4644295  23.1774540  -0.0982542  -0.1015625
   21   0.4721221  23.1767101  -0.0976663  -0.1010944
   22   0.4807409  23.1758862  -0.0970073  -0.1005704
   23   0.4903789  23.1749687  -0.0962703  -0.0999850
   24   0.5005504  23.1740112  -0.0954921  -0.0993679
   25   0.5118382  23.1729546  -0.0946283  -0.0986840
   26   0.5243432  23.1717873  -0.0936705  -0.0979275
   27   0.5381805  23.1705055  -0.0926103  -0.0970920
   28   0.5534713  23.1691074  -0.0914377  -0.0961709
   29   0.5703489  23.1675758  -0.0901421  -0.0951561
   30   0.5889642  23.1658974  -0.0887121  -0.0940390
   31   0.6105835  23.1639709  -0.0870501  -0.0927437
   32   0.6345305  23.1618576  -0.0852089  -0.0913100
   33   0.6610738  23.1595383  -0.0831691  -0.0897188
   34   0.6905242  23.1569939  -0.0809094  -0.0879452
   35   0.7232698  23.1541977  -0.0784047  -0.0859575
   36   0.7597721  23.1510983  -0.0756257  -0.0837152
   37   0.8005761  23.1476650  -0.0725369  -0.0811811
   38   0.8459652  23.1438637  -0.0691203  -0.0783489
   39   0.8984210  23.1394787  -0.0651947  -0.0750929
   40   0.9561219  23.1346283  -0.0608998  -0.0715516
   41   1.0195916  23.1292610  -0.0561931  -0.0676793
   42   1.0894048  23.1233215  -0.0510240  -0.0633872
   43   1.1662028  23.1167965  -0.0453548  -0.0586021
   44   1.2506874  23.1096935  -0.0391816  -0.0532961
   45   1.3436372  23.1020393  -0.0324517  -0.0474388
   46   1.4459027  23.0938816  -0.0250182  -0.0409818
   47   1.5584263  23.0852261  -0.0168926  -0.0338327
   48   1.6822165  23.0758305  -0.0081340  -0.0258578
   49   1.8183713  23.0651817   0.0015387  -0.0169774
   50   1.9680682  23.0524788   0.0120240  -0.0072720
   51   2.1176519  23.0383873   0.0220491   0.0025472
   52   2.2671480  23.0233307   0.0313646   0.0124652
   53   2.4030190  23.0092468   0.0392799   0.0213002
   54   2.5265415  22.9964390   0.0461171   0.0290951
   55   2.6388381  22.9848099   0.0519485   0.0360075
   56   2.7409198  22.9742088   0.0569593   0.0421693
   57   2.8337195  22.9645195   0.0613556   0.0476693
   58   2.9180746  22.9556427   0.0652798   0.0525763
   59   2.9947557  22.9475231   0.0687541   0.0569600
   60   3.0644615  22.9401264   0.0717994   0.0608860
   61   3.1278327  22.9334183   0.0744790   0.0644184
   62   3.1854475  22.9273548   0.0768567   0.0676130
   63   3.2378318  22.9218884   0.0789780   0.0705069
   64   3.2831635  22.9172058   0.0807856   0.0730005
   65   3.3239207  22.9130249   0.0823901   0.0752310
   66   3.3603902  22.9093342   0.0838100   0.0772158
   67   3.3931077  22.9060574   0.0850708   0.0789862
   68   3.4225395  22.9031410   0.0861931   0.0805693
   69   3.4490685  22.9005413   0.0871940   0.0819873
   70   3.4730103  22.8982162   0.0880876   0.0832591
   71   3.4946270  22.8961391   0.0888863   0.0844005
   72   3.5132444  22.8943710   0.0895677   0.0853782
   73   3.5301244  22.8927784   0.0901806   0.0862605
   74   3.5454218  22.8913422   0.0907319   0.0870566
   75   3.5592635  22.8900547   0.0912276   0.0877743
   76   3.5717764  22.8888988   0.0916731   0.0884208
   77   3.5830729  22.8878613   0.0920733   0.0890028
   78   3.5932541  22.8869324   0.0924325   0.0895262
   79   3.6024122  22.8860989   0.0927544   0.0899961
   80   3.6110876  22.8853092   0.0930583   0.0904401
   81   3.6188276  22.8846169   0.0933287   0.0908356
   82   3.6257186  22.8839951   0.0935690   0.0911875
   83   3.6318398  22.8834496   0.0937818   0.0914996
   84   3.6372635  22.8829670   0.0939701   0.0917758
   85   3.6420524  22.8825417   0.0941360   0.0920194
   86   3.6462677  22.8821640   0.0942811   0.0922339
   87   3.6499684  22.8818359   0.0943724   0.0924220
   88   3.6532111  22.8815517   0.0944109   0.0925867
   89   3.6560416  22.8812981   0.0944187   0.0927304
   90   3.6585109  22.8810863   0.0944069   0.0928558
   91   3.6606641  22.8808956   0.0943814   0.0929651
   92   3.6625400  22.8807278   0.0943466   0.0930602
   93   3.6641748  22.8805847   0.0943047   0.0931431
   94   3.6655974  22.8804626   0.0942574   0.0932152
   95   3.6668365  22.8803520   0.0942055   0.0932781
   96   3.6679156  22.8802586   0.0941493   0.0933356
   97   3.6688552  22.8801746   0.0940879   0.0933971
   98   3.6696723  22.8801060   0.0940188   0.0934663
   99   3.6703844  22.8800430   0.0939342   0.0935509
  100   3.6710162  22.8799858   0.0937424   0.0937424
 SURFACE NUMBER    10 FROM THE HUB.
    J      Z           R         THETA 1     THETA 2
    1   0.4791656  23.8550892  -0.1002074  -0.1002074
    2   0.4797475  23.8550034  -0.1000368  -0.1003780
    3   0.4804136  23.8549023  -0.0999604  -0.1004545
    4   0.4811839  23.8547878  -0.0998962  -0.1005171
    5   0.4820690  23.8546581  -0.0998257  -0.1005727
    6   0.4830909  23.8545074  -0.0997445  -0.1006234
    7   0.4842635  23.8543377  -0.0996512  -0.1006702
    8   0.4856111  23.8541355  -0.0995440  -0.1007126
    9   0.4871596  23.8539066  -0.0994208  -0.1007498
   10   0.4889373  23.8536434  -0.0992796  -0.1007806
   11   0.4909773  23.8533421  -0.0991174  -0.1008023
   12   0.4933195  23.8529968  -0.0989313  -0.1008112
   13   0.4960053  23.8525963  -0.0987179  -0.1008012
   14   0.4990805  23.8521461  -0.0984734  -0.1007614
   15   0.5025964  23.8516312  -0.0981943  -0.1006692
   16   0.5066006  23.8510361  -0.0978762  -0.1004633
   17   0.5111523  23.8503685  -0.0975150  -0.1001920
   18   0.5163090  23.8496037  -0.0971062  -0.0998837
   19   0.5221305  23.8487511  -0.0966447  -0.0995350
   20   0.5286877  23.8477955  -0.0961254  -0.0991418
   21   0.5360535  23.8467102  -0.0955427  -0.0986995
   22   0.5443072  23.8455067  -0.0948905  -0.0982030
   23   0.5535398  23.8441582  -0.0941623  -0.0976467
   24   0.5632812  23.8427410  -0.0933953  -0.0970582
   25   0.5740928  23.8411751  -0.0925457  -0.0964035
   26   0.5860693  23.8394394  -0.0916067  -0.0956760
   27   0.5993222  23.8375244  -0.0905704  -0.0948680
   28   0.6139675  23.8354168  -0.0894287  -0.0939716
   29   0.6301319  23.8330975  -0.0881727  -0.0929777
   30   0.6479600  23.8305416  -0.0867921  -0.0918762
   31   0.6686661  23.8275833  -0.0851945  -0.0905908
   32   0.6916005  23.8243217  -0.0834315  -0.0891601
   33   0.7170179  23.8207150  -0.0814831  -0.0875684
   34   0.7452241  23.8167248  -0.0793247  -0.0857983
   35   0.7765803  23.8123074  -0.0769258  -0.0838294
   36   0.8115391  23.8073826  -0.0742484  -0.0816376
   37   0.8506128  23.8018951  -0.0712540  -0.0791933
   38   0.8940781  23.7957916  -0.0679297  -0.0764790
   39   0.9443073  23.7887344  -0.0641103  -0.0733468
   40   0.9995552  23.7809334  -0.0599403  -0.0698981
   41   1.0603263  23.7723255  -0.0553722  -0.0660747
   42   1.1271698  23.7628326  -0.0503414  -0.0617996
   43   1.2006994  23.7523804  -0.0448147  -0.0570350
   44   1.2815920  23.7409363  -0.0388170  -0.0518202
   45   1.3705921  23.7284565  -0.0322875  -0.0461270
   46   1.4685192  23.7148952  -0.0250425  -0.0398103
   47   1.5762753  23.7001839  -0.0170995  -0.0327331
   48   1.6948249  23.6840572  -0.0085302  -0.0248049
   49   1.8252050  23.6660709   0.0008689  -0.0160123
   50   1.9685295  23.6455517   0.0112584  -0.0063748
   51   2.1117167  23.6240349   0.0214049   0.0033837
   52   2.2548037  23.6018295   0.0309482   0.0133207
   53   2.3848407  23.5813847   0.0391192   0.0222614
   54   2.5030644  23.5628242   0.0461604   0.0301489
   55   2.6105409  23.5460110   0.0521910   0.0371555
   56   2.7082496  23.5307655   0.0573707   0.0433888
   57   2.7970817  23.5169315   0.0618681   0.0489384
   58   2.8778412  23.5043755   0.0658287   0.0538851
   59   2.9512551  23.4929943   0.0693240   0.0583098
   60   3.0179975  23.4826946   0.0724091   0.0622799
   61   3.0786819  23.4734020   0.0751383   0.0658434
   62   3.1338661  23.4650230   0.0775594   0.0690405
   63   3.1840427  23.4574871   0.0797145   0.0719117
   64   3.2274721  23.4510326   0.0815489   0.0743712
   65   3.2665229  23.4452896   0.0831772   0.0765636
